读音,对应的汉字
あ,"開, 明, 阿, 登, 当, 遇, 在, 荒, 充, 有, 悪, 空, 存, 和, 称, 遭, 浴, 合, 飽, 揚, 上, 会, 編, 敢, 窪, 挙, 亜"
い,"凍, 蛇, 唯, 衣, 函, 埋, 違, 出, 医, 嫁, 緯, 異, 癒, 意, 為, 往, 移, 容, 偉, 維, 位, 生, 良, 要, 言, 居, 寝, 行, 入, 威, 慰, 猪, 委, 井, 斎, 善, 伊, 射, 囲, 忌, 以, 易, 胃, 好, 活, 依, 遺"
う,"椎, 売, 右, 浮, 撃, 飢, 埋, 祐, 伐, 羽, 得, 受, 雨, 植, 餓, 有, 憂, 産, 享, 生, 請, 討, 優, 芸, 失, 射, 打, 胡, 宇, 承, 熟"
え,"獲, 選, 衣, 壊, 得, 江, 絵, 也, 衛, 恵, 懐, 画, 栄, 重, 笑, 回, 会, 柄, 図, 依"
お,"負, 降, 押, 追, 措, 阿, 緒, 汚, 愛, 落, 老, 悪, 墜, 男, 下, 和, 怖, 尾, 終, 生, 帯, 居, 惜, 圧, 織, 折, 置, 処, 起, 卒, 仰, 推"
か,"稼, 借, 掛, 花, 克, 荷, 価, 貨, 樺, 家, 兼, 果, 伐, 県, 嫁, 課, 飼, 何, 華, 嘉, 書, 菓, 欠, 描, 佳, 懸, 代, 架, 鍋, 勝, 突, 也, 変, 可, 歌, 和, 換, 下, 狩, 榎, 交, 霞, 彼, 火, 買, 支, 回, 賭, 科, 過, 猟, 鹿, 偽, 夏, 香, 貸, 個, 化, 刈, 駆, 替, 枯, 加, 河, 靴, 仮, 暇, 渦"
が,"画, 夏, 芽, 餓, 姜, 賀, 我, 瓦, 雅"
き,"煕, 崎, 磯, 季, 基, 鬼, 貴, 飢, 気, 其, 旗, 伐, 決, 奇, 着, 犠, 機, 亀, 喜, 己, 棋, 利, 輝, 器, 記, 祈, 寄, 希, 肌, 刃, 聞, 聴, 効, 生, 規, 危, 期, 極, 岐, 埼, 消, 黄, 紀, 棄, 企, 毅, 木, 姫, 樹, 机, 揮, 幾, 畿, 忌, 虫, 既, 切, 軌, 起, 帰, 騎, 来"
ぎ,"戯, 犠, 欺, 義, 宜, 岐, 儀, 技, 擬, 疑, 議, 偽, 其, 毅"
く,"庫, 口, 久, 苦, 区, 句, 奇, 貢, 供, 功, 食, 呉, 九, 暮, 悔, 宮, 紅, 組, 倶, 朽, 駒, 繰, 鳩, 駆, 工, 究, 公, 来"
ぐ,"倶, 求, 供, 具, 工, 弘, 愚"
け,"怪, 仮, 圭, 華, 花, 異, 芥, 懸, 化, 価, 消, 家, 毛, 塊, 気, 希"
こ,"庫, 戸, 古, 凝, 虎, 拠, 呼, 己, 濃, 肥, 固, 込, 顧, 懲, 鼓, 扱, 去, 居, 越, 請, 恋, 湖, 子, 粉, 焦, 胡, 故, 個, 児, 混, 孤, 放, 娘, 虚, 超, 枯, 雇, 誇, 来"
ご,"后, 降, 誤, 拒, 五, 其, 後, 語, 呉, 棋, 互, 期, 午, 娯, 護, 胡, 御, 碁, 悟, 吾, 伍"
さ,"鎖, 狭, 佐, 左, 注, 提, 裂, 然, 査, 砂, 決, 唆, 指, 点, 割, 下, 作, 挫, 覚, 咲, 去, 冷, 避, 沙, 差, 詐, 射, 刺, 再, 茶, 挿"
し,"誌, 詩, 緊, 仕, 詞, 絞, 紫, 姉, 凍, 諮, 獅, 四, 死, 自, 締, 示, 是, 私, 飼, 思, 指, 枝, 痴, 始, 識, 資, 染, 強, 紙, 旨, 次, 滋, 市, 姿, 知, 雌, 敷, 芝, 占, 之, 漬, 柿, 孜, 支, 志, 歯, 師, 侍, 至, 視, 試, 子, 士, 刺, 氏, 脂, 矢, 施, 布, 史, 茨, 閉, 糸, 祉, 止, 柴, 司, 使"
じ,"事, 仕, 似, 磁, 自, 示, 持, 慈, 耳, 除, 地, 滋, 次, 辞, 侍, 寺, 治, 焦, 時, 稚, 児, 茨, 字, 二"
す,"釈, 西, 酢, 据, 蘇, 済, 吸, 磨, 摩, 助, 空, 為, 住, 数, 透, 須, 州, 直, 擦, 捨, 酸, 洲, 寿, 主, 素, 過, 刷, 棄, 諏, 子, 統, 窓, 守, 総, 巣, 好, 澄"
ず,"事, 図, 豆, 手, 頭"
せ,"世, 責, 背, 数, 瀬, 急, 施, 攻, 灘, 堰, 競"
