读音,对应的汉字
あ,"合, 挙, 明, 当, 称, 登, 揚, 空, 編, 飽, 和, 遭, 敢, 在, 悪, 充, 存, 開, 浴, 有, 荒, 遇, 会, 上"
い,"斎, 容, 忌, 入, 居, 寝, 行, 猪, 往, 言, 井, 函, 嫁, 要, 癒, 凍, 良, 善, 生, 射, 好, 活, 埋, 出"
う,"売, 失, 熟, 受, 憂, 討, 伐, 打, 椎, 飢, 浮, 享, 得, 餓, 請, 生, 承, 射, 植, 芸, 撃, 埋, 産"
え,"図, 獲, 栄, 笑, 柄, 重, 選, 得, 江"
お,"押, 終, 落, 居, 老, 怖, 下, 愛, 仰, 卒, 折, 推, 尾, 織, 処, 緒, 惜, 起, 降, 帯, 措, 墜, 生, 男, 負, 圧, 追, 置"
か,"飼, 代, 克, 欠, 貸, 借, 猟, 駆, 勝, 也, 換, 懸, 買, 替, 彼, 兼, 掛, 支, 狩, 香, 描, 交, 書, 県, 賭, 鹿, 回, 枯, 刈, 変"
き,"来, 効, 刃, 切, 聞, 利, 聴, 伐, 着, 樹, 極, 木, 黄, 決, 生, 消"
く,"来, 朽, 奇, 呉, 組, 食, 繰, 暮, 悔"
け,"異, 消, 毛"
こ,"来, 肥, 凝, 懲, 恋, 娘, 焦, 濃, 放, 込, 粉, 扱, 超, 児, 混, 請, 越, 子"
ご,棋
さ,"冷, 指, 咲, 避, 注, 去, 下, 点, 然, 提, 決, 覚, 挿, 射, 刺, 狭, 割, 裂"
ざ,戯
し,"絞, 痴, 占, 敷, 強, 知, 締, 緊, 染, 凍, 識, 布, 閉"
じ,焦
す,"澄, 済, 透, 過, 空, 棄, 釈, 為, 据, 刷, 吸, 住, 総, 直, 助, 巣, 好, 捨, 酸, 酢, 統, 擦, 磨, 摩"
せ,"数, 堰, 責, 攻, 急, 瀬, 背, 競, 灘"
そ,"削, 逸, 反, 沿, 十, 殺, 染, 添"
た,"経, 誰, 田, 立, 点, 炊, 貯, 絶, 堪, 断, 発, 垂, 耐, 起, 食, 建, 裁, 足, 閉"
だ,"抱, 出"
ち,"乳, 散, 千, 血"
つ,"付, 告, 摘, 津, 吐, 注, 釣, 即, 浸, 尽, 点, 衝, 着, 次, 就, 亜, 漬, 継, 接, 連, 突, 詰, 積"
て,"手, 照"
と,"録, 飛, 跳, 撮, 捕, 停, 問, 採, 戸, 訪, 説, 富, 門, 解, 取, 存, 十, 冨, 摂, 止, 泊, 翔, 執, 閉, 溶, 融, 研, 遂, 留"
ど,退
な,"己, 鳴, 生, 亡, 成, 投, 泣, 名, 為, 無, 菜, 並, 慣, 済"
に,"丹, 荷, 煮, 似, 逃"
ね,"峰, 子, 寝, 練, 音, 値, 根"
の,"野, 述, 喫, 飲, 載, 乗, 延, 退, 之, 伸"
は,"跳, 刃, 映, 栄, 吐, 張, 掃, 欧, 羽, 晴, 履, 刷, 果, 恥, 歯, 食, 生, 葉, 端, 爆"
ば,"化, 場"
ひ,"干, 冷, 氷, 乾, 退, 陽, 日, 似, 樋, 陳, 引, 火, 灯, 弾"
ふ,"振, 践, 老, 噴, 触, 踏, 増, 化, 更, 降, 伏, 吹, 殖"
ぶ,打
ほ,"干, 誉, 欲, 帆, 掘, 乾, 彫, 賞, 穂"
ぼ,呆
ま,"巻, 間, 馬, 未, 真, 益, 曲, 待, 先, 交, 負, 増, 舞, 混"
み,"観, 診, 視, 三, 充, 身, 覧, 実, 看, 見, 満"
む,"蒸, 生, 群, 向, 六, 産"
め,"召, 目, 愛, 芽, 女, 眼, 旋"
も,"燃, 母, 漏, 若, 持, 喪, 盛"
や,"弥, 辞, 屋, 寝, 焼, 八, 遣, 止, 病, 家, 矢"
ゆ,"揺, 行, 湯, 往, 結, 嫁"
よ,"祥, 夜, 避, 四, 過, 詠, 因, 読, 訓, 選, 寄, 依, 酔, 呼, 止, 良, 隠, 善, 由, 代, 好, 拠, 世, 能"
わ,"輪, 環, 弁, 沸, 我, 別, 分, 割, 羽, 破"
あい,間
あお,"青, 仰"
あか,"赤, 明, 紅, 厚"
あかつき,暁
あき,"明, 朗, 秋, 呆"
あけぼの,曙
あさ,"朝, 漁, 浅, 麻"
あさひ,旭
あし,"足, 脚, 芦"
あじ,味
あせ,"焦, 汗"
あたい,"値, 価"
あたま,頭
あつ,"篤, 淳, 敦, 会, 集, 鳩, 厚, 熱, 暑"
あと,"痕, 後, 跡"
あな,穴
あに,兄
あね,姉
あぶら,"油, 脂"
あま,"余, 剰, 甘, 尼"
あみ,網
あめ,"天, 雨"
あや,"文, 綾, 奇, 殺, 危, 怪, 妖"
あらし,嵐
あわ,"泡, 併, 淡, 哀, 慌"
いえ,家
いき,"息, 粋"
いく,幾
いけ,池
いさお,"勲, 功"
いし,石
いしずえ,礎
いずみ,泉
いそ,"磯, 勤, 急"
いた,"痛, 惨, 到, 板, 致, 労, 悼, 傷, 至"
いただき,頂
いち,市
いつ,"斎, 五"
いと,"愛, 糸"
いぬ,犬
いぬい,乾
いね,稲
いのしし,猪
いのち,命
いばら,茨
いま,"今, 未"
いもうと,妹
いや,"弥, 嫌, 癒, 否"
いろ,色
いわ,"磐, 岩, 巌, 斎, 況, 祝"
うえ,上
うし,"後, 牛"
うず,"渦, 埋"
うた,"謡, 欧, 詠, 歌, 詩"
うたげ,宴
うつわ,器
うで,腕
うま,"旨, 生, 馬, 午, 甘, 巧"
うみ,海
うめ,梅
うら,"憾, 裏, 浦, 麗, 恨, 末"
えだ,"条, 枝"
えのき,"朴, 榎"
おうぎ,扇
おおとり,鵬
おか,"岡, 丘, 冒, 侵, 犯, 陸, 略"
おき,沖
おぎ,荻
おく,"送, 奥, 遅, 帰, 後, 贈"
おす,雄
おっと,夫
おと,"音, 劣"
おとうと,弟
おとこ,"男, 郎"
おに,鬼
おのれ,己
おび,帯
