读音,对应的汉字
あ,"阿, 亜, 窪"
い,"衣, 医, 易, 異, 委, 依, 遺, 位, 維, 以, 胃, 唯, 囲, 蛇, 違, 威, 意, 為, 移, 偉, 慰, 伊, 緯"
う,"祐, 優, 宇, 羽, 胡, 雨, 有, 右"
え,"衣, 絵, 画, 衛, 懐, 壊, 依, 回, 会, 恵, 也"
お,"阿, 和, 汚, 悪"
か,"荷, 菓, 暇, 課, 科, 嘉, 果, 嫁, 可, 架, 加, 歌, 火, 伐, 佳, 何, 靴, 偽, 和, 花, 過, 貨, 価, 稼, 霞, 樺, 個, 仮, 河, 渦, 下, 榎, 鍋, 突, 華, 化, 家, 夏"
が,"賀, 餓, 画, 我, 夏, 芽, 瓦, 姜, 雅"
き,"己, 喜, 幾, 忌, 虫, 其, 畿, 毅, 既, 棋, 輝, 希, 起, 揮, 奇, 寄, 煕, 帰, 器, 紀, 埼, 機, 企, 季, 記, 貴, 祈, 規, 騎, 気, 危, 棄, 軌, 岐, 肌, 基, 机, 飢, 崎, 亀, 磯, 姫, 鬼, 犠, 旗, 期"
ぎ,"擬, 岐, 欺, 儀, 其, 疑, 宜, 技, 義, 議, 犠, 戯, 偽, 毅"
く,"苦, 庫, 工, 区, 貢, 倶, 久, 功, 供, 口, 鳩, 句, 駒, 公, 紅, 九, 駆, 究, 宮"
ぐ,"倶, 求, 愚, 弘, 具, 工, 供"
け,"花, 芥, 価, 懸, 華, 怪, 仮, 希, 塊, 圭, 化, 気, 家"
こ,"己, 古, 居, 去, 虎, 固, 庫, 呼, 湖, 顧, 拠, 胡, 戸, 個, 雇, 鼓, 虚, 孤, 枯, 故, 誇"
ご,"護, 降, 御, 其, 午, 拒, 吾, 互, 碁, 后, 胡, 後, 五, 悟, 語, 呉, 伍, 娯, 誤, 期"
さ,"沙, 再, 詐, 砂, 茶, 佐, 作, 挫, 鎖, 唆, 査, 左, 差"
ざ,"座, 挫"
し,"矢, 司, 師, 詞, 孜, 祉, 柴, 使, 仕, 子, 氏, 是, 旨, 雌, 誌, 施, 私, 柿, 詩, 死, 試, 脂, 糸, 諮, 漬, 四, 獅, 視, 士, 止, 侍, 姉, 飼, 之, 始, 刺, 資, 市, 支, 指, 思, 歯, 至, 自, 次, 姿, 茨, 芝, 枝, 示, 志, 紫, 史, 滋, 紙"
じ,"字, 仕, 時, 事, 児, 辞, 持, 除, 似, 侍, 慈, 磁, 二, 耳, 自, 次, 治, 寺, 茨, 地, 示, 稚, 滋"
